long,'lat','latrans'
-52.02780151,-27.23419952,1
-53.8513377,-27.2326704,1
-48.5438889,-27.1838889,1
-49.5419,-27.1661,1
-48.55310059,-27.15780067,1
-51.900319,-27.147546,1
-52.78720093,-27.13190079,1
-50.05676,-27.108242,1
-48.61138889,-27.09055556,1
-49.5178,-27.0569,1
-49.49836,-26.974636,1
-50.69530106,-26.92889977,1
-49.06583333,-26.91944444,1
-49.06610107,-26.91939926,1
-49.2317,-26.8978,1
-52.9919014,-26.84810066,1
-49.3644,-26.7828,1
-51.01499939,-26.77529907,1
-48.6783208,-26.7409722,1
-54.252623,-26.717371,1
-54.264908,-26.689048,1
-54.11749,-26.625094,1
-51.6742,-26.5242,1
-51.6707,-26.4996,1
-51.6661,-26.4951,1
-51.3586,-26.4207,1
-51.3591,-26.4202,1
-51.3888,-26.4063,1
-48.6381,-26.2433,1
-50.79970169,-26.23859978,1
-51.07830048,-26.23810005,1
-51.08639908,-26.22999954,1
-50.38999939,-26.17720032,1
-51.65969849,-25.69560051,1
-48.517308,-25.69374,1
-49.05,-25.6832,1
-50.212151,-25.561754,1
-53.40810013,-25.43560028,1
-49.07433,-25.430073,1
-49.27310181,-25.42779922,1
-49.855464,-25.254014,1
-50.0137,-25.2496,1
-53.9,-24.7375,1
-47.54972222,-24.70027778,1
-47.54999924,-24.70000076,1
-48.59000015,-24.57999992,1
-50.2524,-24.5607,1
-47.2039,-24.5338,1
-47.024367,-24.363123,1
-50.6156,-24.3239,1
-50.94940186,-24.20829964,1
-48.36,-24.09027778,1
-48.36000061,-24.09000015,1
-46.4,-24,1
-46.40000153,-24,1
-46.7356,-23.9807,1
-46.38999939,-23.95999908,1
-51.8567,-23.8656,1
-46.13,-23.85027778,1
-50.18777778,-23.84861111,1
-46.979915,-23.775374,1
-45.9163,-23.7619,1
-46.402168,-23.746262,1
-45.933403,-23.72848,1
-45.7528,-23.7264,1
-46.56000137,-23.69000053,1
-46.52999878,-23.65999985,1
-45.40999985,-23.62000084,1
-46.63,-23.54027778,1
-45.06972222,-23.43027778,1
-48.35,-23.4,1
-44.8263,-23.364,1
-44.8326,-23.3593,1
-44.8334,-23.3588,1
-44.8507,-23.3588,1
-44.8265,-23.3563,1
-44.855,-23.3526,1
-44.8482,-23.3459,1
-51.1628,-23.3103,1
-51.0481,-23.2692,1
-46.9408,-23.2339,1
-50.7511,-23.08,1
-50.9131,-23.07,1
-49.87,-22.97,1
-42.983326,-22.929784,1
-42.928013,-22.913583,1
-43.20750046,-22.90279961,1
-47.06000137,-22.89999962,1
-48.445,-22.886667,1
-48.43972222,-22.88,1
-45.6617,-22.8257,1
-46.14444444,-22.75555556,1
-43.611132,-22.714628,1
-46.228293,-22.705081,1
-44.43972222,-22.67027778,1
-54.8222,-22.6342,1
-43.89810181,-22.62919998,1
-45.16527778,-22.61333333,1
-43.226437,-22.5903,1
-43.478673,-22.469964,1
-42.770408,-22.452688,1
-42.771617,-22.449282,1
-42.752041,-22.436458,1
-43.309895,-22.412447,1
-42.17694444,-22.32861111,1
-42.176944,-22.328611,1
-48.5306,-22.3027,1
-48.11972222,-22.28027778,1
-41.645444,-22.271556,1
-41.645361,-22.271222,1
-41.646167,-22.270806,1
-41.6465,-22.27075,1
-41.645833,-22.270611,1
-48.4467,-22.2697,1
-41.6355,-22.267139,1
-41.65655,-22.262706,1
-41.65875,-22.26025,1
-41.658972,-22.260083,1
-41.658139,-22.259833,1
-41.660122,-22.259592,1
-41.657972,-22.259583,1
-41.662167,-22.257778,1
-41.662972,-22.254694,1
-41.663472,-22.254417,1
-41.664194,-22.254306,1
-41.664139,-22.254194,1
-41.663833,-22.254028,1
-47.81999969,-22.25,1
-41.665011,-22.248403,1
-43.209939,-22.115653,1
-43.82780075,-22.08919907,1
-47.646,-21.72,1
-57.8821,-21.6986,1
-47.7972,-21.6031,1
-41.286389,-21.599722,1
-41.26,-21.533889,1
-43.589823,-21.465856,1
-41.2175,-21.453889,1
-42.204167,-21.335278,1
-41.137778,-21.286389,1
-42.23749924,-21.24500084,1
-41.124167,-21.228333,1
-47.81000137,-21.17000008,1
-42.36640167,-21.13059998,1
-41.046667,-21.098889,1
-49.5434,-21.0767,1
-40.833889,-21.011111,1
-51.70736111,-20.99347222,1
-41.623333,-20.945556,1
-41.624444,-20.917222,1
-42.0286,-20.904772,1
-49.349724,-20.899641,1
-41.623611,-20.891111,1
-51.47999954,-20.87000084,1
-42.754933,-20.818346,1
-40.645556,-20.805833,1
-40.64559937,-20.80579948,1
-41.453994,-20.758014,1
-41.455765,-20.757719,1
-41.453335,-20.756945,1
-45.431076,-20.746956,1
-43.483056,-20.671389,1
-40.4975,-20.666667,1
-40.51100159,-20.65800095,1
-42.14860153,-20.61440086,1
-41.18470001,-20.60359955,1
-42.235,-20.60225,1
-40.471111,-20.551667,1
-40.801667,-20.550833,1
-41.66719818,-20.54140091,1
-54.75141,-20.538759,1
-43.9833,-20.5353,1
-43.54,-20.53,1
-40.797222,-20.526667,1
-41.084039,-20.516783,1
-43.8578,-20.4997,1
-41.4131012,-20.46419907,1
-40.638333,-20.455556,1
-40.324444,-20.422778,1
-40.330108,-20.415172,1
-40.683056,-20.412778,1
-43.4161,-20.3778,1
-40.65919876,-20.36330032,1
-45.66674,-20.36076,1
-40.490833,-20.358611,1
-51.41166667,-20.35722222,1
-51.411667,-20.357222,1
-45.666666,-20.35487,1
-40.29249954,-20.32970047,1
-40.57,-20.326389,1
-43.235379,-20.324137,1
-40.337778,-20.319444,1
-40.33779907,-20.31940079,1
-40.3378,-20.3194,1
-40.35,-20.316667,1
-40.456667,-20.290833,1
-40.52194444,-20.28111111,1
-40.521944,-20.281111,1
-40.416667,-20.266667,1
-40.466667,-20.266667,1
-40.42,-20.263889,1
-40.652546,-20.23601,1
-40.831783,-20.213313,1
-44.4211,-20.1967,1
-40.343333,-20.149167,1
-44.1997,-20.1433,1
-40.307778,-20.128611,1
-40.183333,-20.1025,1
-40.18333333,-20.1025,1
-43.4075,-20.0747,1
-44.732375,-20.069717,1
-44.2739,-20.0492,1
-44.869233,-19.985175,1
-40.143611,-19.969194,1
-40.540447,-19.965183,1
-43.4153,-19.9594,1
-40.533333,-19.95,1
-43.4872,-19.9458,1
-40.600119,-19.935778,1
-40.60029984,-19.93560028,1
-40.6003,-19.9356,1
-40.600278,-19.935556,1
-40.406667,-19.9325,1
-46.8231,-19.9222,1
-43.9378,-19.9208,1
-49.217128,-19.91345,1
-43.952812,-19.868759,1
-40.066711,-19.839517,1
-40.36970139,-19.83189964,1
-42.3161,-19.8289,1
-40.273333,-19.820278,1
-40.335111,-19.818889,1
-54.94,-19.801667,1
-40.32225,-19.794917,1
-42.1392,-19.7897,1
-40.316667,-19.783333,1
-40.6568985,-19.73889923,1
-40.731667,-19.673611,1
-43.226944,-19.62,1
-43.2269,-19.6192,1
-56.1506,-19.5779,1
-57.018906,-19.576734,1
-39.84265,-19.57405,1
-51.895472,-19.559639,1
-42.521722,-19.552642,1
-39.852778,-19.548889,1
-40.630556,-19.54,1
-40.630556,-19.539444,1
-41.01580048,-19.51889992,1
-43.74472222,-19.51361111,1
