long,'lat','bicolor'
-48.67027778,-28.24,1
-49.00690079,-28.4666996,1
-48.78079987,-28.48250008,1
-50.93389893,-28.5121994,1
-57.176686,-28.533325,1
-51.3647222,-28.5930556,1
-51.364722,-28.593056,1
-51.3544444,-28.6191667,1
-51.354444,-28.619167,1
-56.00439835,-28.66060066,1
-51.925,-28.709444,1
-51.925,-28.7094444,1
-49.65091,-28.710239,1
-51.61000061,-28.78389931,1
-51.89030075,-28.84560013,1
-50.9752778,-29.0491667,1
-50.975278,-29.049167,1
-49.72689819,-29.33530045,1
-49.755308,-29.355784,1
-49.84970093,-29.36940002,1
-51.1121,-29.3757,1
-50.58359909,-29.44809914,1
-52.597833,-29.449483,1
-52.5978333,-29.4494833,1
-50.216667,-29.45,1
-50.2166667,-29.45,1
-51.96139908,-29.46689987,1
-50.219812,-29.486838,1
-50.109287,-29.512297,1
-50.91667,-29.5667,1
-53.44469833,-29.5746994,1
-50.0708,-29.5853,1
-50.07080078,-29.58530045,1
-50.7806015,-29.65060043,1
-53.8259,-29.6873,1
-52.42580032,-29.71750069,1
-51.165005,-29.720575,1
-50.00970078,-29.74559975,1
-51.15,-29.7667,1
-51.148056,-29.824722,1
-51.14805556,-29.82472222,1
-55.88953,-29.82909,1
-61.257498,-29.851186,1
-50.2696991,-29.88669968,1
-50.269444,-29.886944,1
-50.26944444,-29.88694444,1
-51.72219849,-29.95919991,1
-50.12810135,-29.97529984,1
-51.01338,-30.03333,1
-51.72919846,-30.07719994,1
-51.02330017,-30.08110046,1
-51.3196,-30.1079,1
-51.32500076,-30.11389923,1
-55.25403,-30.1231,1
-53.5653,-30.1606,1
-53.56529999,-30.16060066,1
-50.2116667,-30.1625278,1
-50.211667,-30.162528,1
-50.2075,-30.174444,1
-50.2075,-30.1744444,1
-50.20560074,-30.18110085,1
-51.094432,-30.221209,1
-51.0944319,-30.2212095,1
-54.98948,-30.2382,1
-53.6616667,-30.2388889,1
-53.661667,-30.238889,1
-51.001753,-30.268572,1
-51.0017528,-30.2685722,1
-50.3089167,-30.2741667,1
-50.308917,-30.274167,1
-54.15986,-30.35745,1
-51.906111,-30.369611,1
-51.9061111,-30.3696111,1
-52.311944,-30.425444,1
-52.3119444,-30.4254444,1
-53.49140167,-30.5121994,1
-55.364183,-30.77115,1
-55.3641833,-30.77115,1
-55.602231,-30.86834,1
-53.1153,-30.8719,1
-55.6,-30.872222,1
-54.6727778,-30.9827778,1
-54.672778,-30.982778,1
-57.933889,-31.288056,1
-64.267348,-31.357208,1
-61.175316,-31.394529,1
-53.7375,-31.5506389,1
-53.7375,-31.550639,1
-53.74725,-31.5508889,1
-53.74725,-31.550889,1
-53.7366111,-31.5516667,1
-53.736611,-31.551667,1
-53.67250061,-31.55809975,1
-53.716667,-31.6,1
-53.7166667,-31.6,1
-60.663034,-31.675476,1
-60.839874,-31.737778,1
-52.48389816,-31.76329994,1
-52.342778,-31.771944,1
-52.3427778,-31.7719444,1
-58.267363,-31.862975,1
-58.259093,-31.864515,1
-54.154528,-31.894556,1
-54.1532,-31.8987,1
-58.963755,-31.986206,1
-52.9894444,-32.0477778,1
-52.989444,-32.047778,1
-58.441254,-32.346889,1
-58.038167,-32.521422,1
-53.388889,-32.590556,1
-54.443889,-32.911389,1
-58.869773,-34.230186,1
-54.975541,-34.326735,1
-55.315833,-34.409722,1
-53.867467,-34.425031,1
-60.963033,-34.566403,1
-55.944444,-34.5725,1
-55.559867,-34.778631,1
-54.814281,-34.879339,1
-54.814407,-34.879702,1
-55.218743,-34.889644,1
-53.6571,-22.9218,1
-53.7471,-22.9008,1
-53.6439,-22.889,1
