area	type	diversity	ext	mean	desv1	desv2
ma	climate	interaction	28	0.178377	NA	NA
ma	climate	interaction	33	0.1748457	NA	NA
ma	climate	interaction	39	0.1036576	NA	NA
ma	climate	interaction	44	0.09644353	NA	NA
ma	climate	interaction	50	0.0784398	NA	NA
ma	climate	interaction	56	0.05862103	NA	NA
ma	climate	interaction	61	0.03515601	NA	NA
ma	climate	interaction	67	0.03516011	NA	NA
ma	climate	interaction	72	0.03446124	NA	NA
ma	climate	interaction	78	0.008140728	NA	NA
ma	land	interaction	0	0.1999581	NA	NA
ma	land	interaction	6	0.214942365	NA	NA
ma	land	interaction	11	0.199333051	NA	NA
ma	land	interaction	17	0.196161041	NA	NA
ma	land	interaction	22	0.202955761	NA	NA
ma	land	interaction	28	0.197876356	NA	NA
ma	land	interaction	33	0.176973067	NA	NA
ma	land	interaction	39	0.164027714	NA	NA
ma	land	interaction	44	0.098446593	NA	NA
ma	land	interaction	50	0.080805544	NA	NA
ma	land	interaction	56	0.074525797	NA	NA
ma	land	interaction	61	0.070274049	NA	NA
ma	land	interaction	67	0.034461489	NA	NA
ma	land	interaction	72	0.008140728	NA	NA
ma	land	interaction	78	0.008140728	NA	NA
ma	climate	functional	0	0.04847102	NA	NA
ma	climate	functional	6	0.04844283	NA	NA
ma	climate	functional	11	0.04785631	NA	NA
ma	climate	functional	17	0.0478705	NA	NA
ma	climate	functional	22	0.05309025	NA	NA
ma	climate	functional	28	0.05132565	NA	NA
ma	climate	functional	33	0.05211154	NA	NA
ma	climate	functional	39	0.05201183	NA	NA
ma	climate	functional	44	0.04308817	NA	NA
ma	climate	functional	50	0.04128958	NA	NA
ma	climate	functional	56	0.04086601	NA	NA
ma	climate	functional	61	0.02936635	NA	NA
ma	climate	functional	67	0.0298525	NA	NA
ma	climate	functional	72	0.02094395	NA	NA
ma	climate	functional	78	0.0067896	NA	NA
ma	land	functional	0	0.04847102	NA	NA
ma	land	functional	6	0.054375823	NA	NA
ma	land	functional	11	0.054303835	NA	NA
ma	land	functional	17	0.058892932	NA	NA
ma	land	functional	22	0.05607002	NA	NA
ma	land	functional	28	0.056232262	NA	NA
ma	land	functional	33	0.05290185	NA	NA
ma	land	functional	39	0.0515712	NA	NA
ma	land	functional	44	0.053085789	NA	NA
ma	land	functional	50	0.038125473	NA	NA
ma	land	functional	56	0.03097423	NA	NA
